File,Paragraph,LIX Score,Longest Sentence,Dependency Parse
diva\diva1.txt,"Det är  lätt att låsa tanken och tro att det ena ger det andra och att organisation och orientering  endast blir en logisk följd av alla ”hårda” värden som måste uppfyllas.  Här gäller tålamod, det går alltid att pröva flera lösningar och att också ta in mjukare värden i  denna grundläggande planering. Erfarenheten ger att det trots allt alltid finns flera lösningar  på ett problem. Det blir till sist en fråga om kloka val och prioriteringar.",30.99,Det är  lätt att låsa tanken och tro att det ena ger det andra och att organisation och orientering  endast blir en logisk följd av alla ”hårda” värden som måste uppfyllas.,"[(1, 'Det', 3), (2, 'är', 3), (3, 'lätt', 0), (4, 'att', 5), (5, 'låsa', 3), (6, 'tanken', 5), (7, 'och', 8), (8, 'tro', 5), (9, 'att', 12), (10, 'det', 11), (11, 'ena', 12), (12, 'ger', 8), (13, 'det', 14), (14, 'andra', 12), (15, 'och', 21), (16, 'att', 21), (17, 'organisation', 21), (18, 'och', 19), (19, 'orientering', 17), (20, 'endast', 21), (21, 'blir', 12), (22, 'en', 24), (23, 'logisk', 24), (24, 'följd', 21), (25, 'av', 28), (26, 'alla', 28), (27, '”hårda”', 28), (28, 'värden', 24), (29, 'som', 31), (30, 'måste', 31), (31, 'uppfyllas', 28), (32, '.', 3)]"
diva\diva10.txt,"Ett starkt flöde av gångtrafikanter finns på platsen, de flesta från t-bane uppgången. Dessa rör sig främst till och från t-baneuppgången. Tre trappor som leder en från Hornsbruksgatan till Högalidsparken har  visat sig vid observationer att fungera dåligt. Få människor använder trap- porna i relation till det starka flöde som finns. Målet är att skapa en mjuk övergång mellan bergsvägg och Hornsbruks- gatan, genom en fusion mellan byggnadstypologi och topografi.",35.61,"Målet är att skapa en mjuk övergång mellan bergsvägg och Hornsbruks- gatan, genom en fusion mellan byggnadstypologi och topografi.","[(1, 'Målet', 0), (2, 'är', 1), (3, 'att', 4), (4, 'skapa', 1), (5, 'en', 7), (6, 'mjuk', 7), (7, 'övergång', 4), (8, 'mellan', 9), (9, 'bergsvägg', 4), (10, 'och', 11), (11, 'Hornsbruks-', 12), (12, 'gatan', 9), (13, ',', 16), (14, 'genom', 16), (15, 'en', 16), (16, 'fusion', 4), (17, 'mellan', 18), (18, 'byggnadstypologi', 16), (19, 'och', 20), (20, 'topografi', 18), (21, '.', 1)]"
diva\diva100.txt,"Både energikonsumtion samt luftföroreningar har  jämförts. De valda transportslagen är bil, buss och tunnelbana.    Traditionellt sett så har järnvägsindustrin haft just miljöargumenten som en stark fördel när det  gäller passagerartrafik. Men de senaste åren har bilindustrin fått mer och mer utrymme I media  när det gäller miljöfrågor. T.ex. Roger Kemps uttalande att bilen är de mest miljövänliga  passagerartransportmedlet i UK.",33.85,Traditionellt sett så har järnvägsindustrin haft just miljöargumenten som en stark fördel när det  gäller passagerartrafik.,"[(1, 'Traditionellt', 2), (2, 'sett', 6), (3, 'så', 6), (4, 'har', 6), (5, 'järnvägsindustrin', 6), (6, 'haft', 0), (7, 'just', 8), (8, 'miljöargumenten', 6), (9, 'som', 12), (10, 'en', 12), (11, 'stark', 12), (12, 'fördel', 6), (13, 'när', 16), (14, 'det', 13), (15, 'gäller', 13), (16, 'passagerartrafik', 12), (17, '.', 6)]"
diva\diva101.txt,"Produktfamiljen skulle dessutom erbjuda  aktiviteter för alla kvarterets invånare, och på så sätt förvandla innergården till en naturlig  mötesplats.    Examensarbetet har fokuserat på att ta fram koncept anpassade efter önskemål från såväl inköpare  som människor som vistas i det offentliga rummet och som samtidigt är möjliga att tillverka och  sälja med god förtjänst.",59.18,Examensarbetet har fokuserat på att ta fram koncept anpassade efter önskemål från såväl inköpare  som människor som vistas i det offentliga rummet och som samtidigt är möjliga att tillverka och  sälja med god förtjänst.,"[(1, 'Examensarbetet', 3), (2, 'har', 3), (3, 'fokuserat', 0), (4, 'på', 6), (5, 'att', 6), (6, 'ta', 3), (7, 'fram', 6), (8, 'koncept', 6), (9, 'anpassade', 6), (10, 'efter', 11), (11, 'önskemål', 6), (12, 'från', 14), (13, 'såväl', 14), (14, 'inköpare', 11), (15, 'som', 16), (16, 'människor', 14), (17, 'som', 18), (18, 'vistas', 16), (19, 'i', 22), (20, 'det', 22), (21, 'offentliga', 22), (22, 'rummet', 18), (23, 'och', 27), (24, 'som', 27), (25, 'samtidigt', 27), (26, 'är', 27), (27, 'möjliga', 18), (28, 'att', 29), (29, 'tillverka', 27), (30, 'och', 31), (31, 'sälja', 29), (32, 'med', 34), (33, 'god', 34), (34, 'förtjänst', 29), (35, '.', 3)]"
diva\diva102.txt,"Lektion.se är en sajt  som startades 2003 och ger dess medlemmar möjlighet att dela med sig av lektionsidéer,  diskutera intressanta frågor och ge tips och råd till andra medlemmar. Examensarbetet  fokuserar på hur lärarna definierar och använder sajten för kunskapsdelning samt vilka  förbättringar som kan göras för att upprätthålla och i bästa fall öka kunskapsdelningen mellan  medlemmarna.",45.53,Examensarbetet  fokuserar på hur lärarna definierar och använder sajten för kunskapsdelning samt vilka  förbättringar som kan göras för att upprätthålla och i bästa fall öka kunskapsdelningen mellan  medlemmarna.,"[(1, 'Examensarbetet', 2), (2, 'fokuserar', 0), (3, 'på', 6), (4, 'hur', 6), (5, 'lärarna', 6), (6, 'definierar', 2), (7, 'och', 8), (8, 'använder', 6), (9, 'sajten', 6), (10, 'för', 11), (11, 'kunskapsdelning', 6), (12, 'samt', 17), (13, 'vilka', 14), (14, 'förbättringar', 17), (15, 'som', 17), (16, 'kan', 17), (17, 'göras', 6), (18, 'för', 20), (19, 'att', 20), (20, 'upprätthålla', 17), (21, 'och', 25), (22, 'i', 24), (23, 'bästa', 24), (24, 'fall', 25), (25, 'öka', 20), (26, 'kunskapsdelningen', 20), (27, 'mellan', 28), (28, 'medlemmarna', 26), (29, '.', 2)]"
diva\diva103.txt,Robotarna heter Fish respektive Bird och därav projektnamnet Fish-Bird.  Detta examensarbete utvärderar Fish-Birds navigeringssystem. Bakgrunden till  utvärderingen är en oklarhet i huruvida navigeringssystem är ofullständigt eller felaktigt.  Navigeringssystemet har visat bristande funktionalitet vid upprepade tillfällen. En stor  del av problematiken förekommer oftast när hinder befinner sig nära varandra.  Studien är gjord genom en detaljerad analys av Fish-Birds navigeringssystem.,49.7,Bakgrunden till  utvärderingen är en oklarhet i huruvida navigeringssystem är ofullständigt eller felaktigt.,"[(1, 'Bakgrunden', 6), (2, 'till', 3), (3, 'utvärderingen', 1), (4, 'är', 6), (5, 'en', 6), (6, 'oklarhet', 0), (7, 'i', 11), (8, 'huruvida', 11), (9, 'navigeringssystem', 11), (10, 'är', 11), (11, 'ofullständigt', 6), (12, 'eller', 13), (13, 'felaktigt', 11), (14, '.', 6)]"
diva\diva104.txt,,0,,
diva\diva105.txt,"Arbetet har anpassats till de idag framtagna Europastandarderna för energiberäkning av  byggnader. Alla regler har av praktiska skäl inte kunnat implementeras i EBBA. För att nå  tillräcklig noggrannhet i beräkningarna avseende kylbehov har timvärden används. Dessa har  införts i beräkningarna för ventilation, köldbryggor, transmission och luftläckage då alla är  beroende av utomhustemperaturens variation över dygnet.",54.64,"Dessa har  införts i beräkningarna för ventilation, köldbryggor, transmission och luftläckage då alla är  beroende av utomhustemperaturens variation över dygnet.","[(1, 'Dessa', 3), (2, 'har', 3), (3, 'införts', 0), (4, 'i', 5), (5, 'beräkningarna', 3), (6, 'för', 7), (7, 'ventilation', 5), (8, ',', 9), (9, 'köldbryggor', 7), (10, ',', 11), (11, 'transmission', 7), (12, 'och', 13), (13, 'luftläckage', 7), (14, 'då', 17), (15, 'alla', 17), (16, 'är', 17), (17, 'beroende', 3), (18, 'av', 20), (19, 'utomhustemperaturens', 20), (20, 'variation', 17), (21, 'över', 22), (22, 'dygnet', 20), (23, '.', 3)]"
diva\diva106.txt,,0,,
diva\diva107.txt,Slutsats  Detta arbete har visat att energideklarationerna bör göras på ett relativt enkelt  sätt. Boverkets metod för energideklarationer är bra eftersom den inte är särskilt  tidskrävande att utföra. Det är upp till fastighetsägaren om han vill ha utförliga  och genomarbetade förslag till lönsamma åtgärder eller inte.,41.93,Det är upp till fastighetsägaren om han vill ha utförliga  och genomarbetade förslag till lönsamma åtgärder eller inte.,"[(1, 'Det', 2), (2, 'är', 0), (3, 'upp', 2), (4, 'till', 5), (5, 'fastighetsägaren', 2), (6, 'om', 9), (7, 'han', 9), (8, 'vill', 9), (9, 'ha', 2), (10, 'utförliga', 13), (11, 'och', 12), (12, 'genomarbetade', 10), (13, 'förslag', 9), (14, 'till', 16), (15, 'lönsamma', 16), (16, 'åtgärder', 9), (17, 'eller', 16), (18, 'inte', 17), (19, '.', 2)]"
